Albania,7.67
Algeria,5.13
Angola,5.97
Argentina,6.99
Armenia,8.14
Australia,8.51
Austria,8.26
Azerbaijan,5.7
Bahamas,8.14
Bahrain,5.49
Bangladesh,5.51
Barbados,7.69
Belarus,5.78
Belgium,8.27
Belize,7.02
Benin,6.95
Bhutan,6.71
Bolivia,6.6
Bosnia and Herzegovina,7.35
Botswana,7.44
Brazil,6.86
Brunei,5.62
Bulgaria,7.81
Burkina Faso,6.63
Burundi,4.82
Cambodia,6.24
Cameroon,5.34
Canada,8.47
Cape Verde,8.12
Central African Republic,5.47
Chad,5.55
Chile,8.06
China,5.22
Colombia,6.65
Comoros,5.75
Costa Rica,7.98
Croatia,7.86
Cyprus,8.13
Czech Republic,8.33
Denmark,8.72
Djibouti,5.51
Dominican Republic,7.61
DR Congo,5.39
Ecuador,7.12
Egypt,4.28
El Salvador,6.65
Estonia,8.73
Eswatini,5.45
Ethiopia,5.42
Fiji,7.28
Finland,8.62
France,7.8
Gabon,6.62
Gambia,6.61
Georgia,7.71
Germany,8.33
Ghana,7.26
Greece,7.5
Guatemala,7.08
Guinea,5.45
Guinea-Bissau,6.54
Guyana,6.9
Haiti,6.78
Honduras,6.67
Hong Kong,8.01
Hungary,7.21
Iceland,8.64
India,6.3
Indonesia,6.74
Iran,4.26
Iraq,4.77
Ireland,8.7
Israel,7.36
Italy,8.02
Ivory Coast,6.47
Jamaica,7.53
Japan,8.39
Jordan,6.39
Kazakhstan,6.46
Kenya,6.58
Kuwait,6.25
Kyrgyzstan,6.7
Laos,5.44
Latvia,8.42
Lebanon,5.98
Lesotho,6.8
Liberia,6.62
Libya,4.95
Lithuania,8.34
Luxembourg,8.53
Madagascar,6.47
Malawi,6.89
Malaysia,6.78
Mali,6.01
Malta,8.2
Mauritania,5.54
Mauritius,7.63
Mexico,6.6
Moldova,7.46
Mongolia,7.62
Montenegro,7.45
Morocco,5.55
Mozambique,6.62
Myanmar,5.56
Namibia,7.49
Nepal,6.77
Netherlands,8.55
New Zealand,8.75
Nicaragua,5.96
Niger,6.33
Nigeria,5.93
North Macedonia,7.67
Norway,8.51
Oman,5.57
Pakistan,5.44
Panama,7.52
Papua New Guinea,6.98
Paraguay,7.03
Peru,7.51
Philippines,6.52
Poland,7.66
Portugal,8.2
Qatar,5.73
Republic of the Congo,5.55
Romania,7.89
Russia,6.01
Rwanda,5.93
Saudi Arabia,4.56
Senegal,6.7
Serbia,7.16
Seychelles,7.7
Sierra Leone,6.53
Singapore,7.7
Slovakia,7.94
Slovenia,7.88
Somalia,4.67
South Africa,6.93
South Korea,8.11
Spain,8.08
Sri Lanka,6.33
Sudan,4.31
Suriname,7.2
Sweden,8.66
Switzerland,8.94
Syria,3.3
Taiwan,8.44
Tajikistan,5.49
Tanzania,6.24
Thailand,6.49
Timor-Leste,7.27
Togo,6.25
Trinidad and Tobago,7.53
Tunisia,6.25
Turkey,5.71
Uganda,6.13
Ukraine,6.68
United Arab Emirates,5.76
United Kingdom,8.3
United States,8.23
Uruguay,7.97
Venezuela,4.09
Vietnam,5.64
Yemen,3.94
Zambia,6.38
Zimbabwe,5.25
